Read the target shape in
 ./files/input/20190307ErrorBetweenMirrorandCylinder1stSputter60nmOffset.txt
Read the unit sputter yield in
 ./files/input/20190325SputterYieldon20190324_2.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :    5500
  # Unit     :    2175
  # 1/2 Unit :    1087
  # All      :    9850
The number of threads
  # Total    :       4
  # Thread   :       1
  # Thread   :       3
  # Thread   :       2
  # Thread   :       0
Computation time for initialization:    0.0040

Have memorized arrays 1 times
Multiplied alpha by    0.9500
loop:    122000, alpha:   14.2500, rms:    1.6943
loop:    122400, alpha:   14.2500, rms:    1.6942
loop:    122800, alpha:   14.2500, rms:    1.6942
loop:    123200, alpha:   14.2500, rms:    1.6941
loop:    123600, alpha:   14.2500, rms:    1.6941
loop:    124000, alpha:   14.2500, rms:    1.6940
loop:    124400, alpha:   14.2500, rms:    1.6940
loop:    124800, alpha:   14.2500, rms:    1.6939
loop:    125200, alpha:   14.2500, rms:    1.6939
loop:    125600, alpha:   14.2500, rms:    1.6938
loop:    126000, alpha:   14.2500, rms:    1.6938
loop:    126400, alpha:   14.2500, rms:    1.6937
loop:    126800, alpha:   14.2500, rms:    1.6936
loop:    127200, alpha:   14.2500, rms:    1.6936
loop:    127600, alpha:   14.2500, rms:    1.6935
loop:    128000, alpha:   14.2500, rms:    1.6935
loop:    128400, alpha:   14.2500, rms:    1.6934
loop:    128800, alpha:   14.2500, rms:    1.6934
loop:    129200, alpha:   14.2500, rms:    1.6933
loop:    129600, alpha:   14.2500, rms:    1.6933
Have memorized arrays 14 times
loop:    130000, alpha:   14.2500, rms:    1.6932
loop:    130400, alpha:   14.2500, rms:    1.6932
loop:    130800, alpha:   14.2500, rms:    1.6931
loop:    131200, alpha:   14.2500, rms:    1.6931
loop:    131600, alpha:   14.2500, rms:    1.6930
loop:    132000, alpha:   14.2500, rms:    1.6930
loop:    132400, alpha:   14.2500, rms:    1.6929
loop:    132800, alpha:   14.2500, rms:    1.6929
loop:    133200, alpha:   14.2500, rms:    1.6928
loop:    133600, alpha:   14.2500, rms:    1.6928
loop:    134000, alpha:   14.2500, rms:    1.6927
loop:    134400, alpha:   14.2500, rms:    1.6927
loop:    134800, alpha:   14.2500, rms:    1.6926
loop:    135200, alpha:   14.2500, rms:    1.6926
loop:    135600, alpha:   14.2500, rms:    1.6925
loop:    136000, alpha:   14.2500, rms:    1.6925
loop:    136400, alpha:   14.2500, rms:    1.6924
loop:    136800, alpha:   14.2500, rms:    1.6924
loop:    137200, alpha:   14.2500, rms:    1.6923
loop:    137600, alpha:   14.2500, rms:    1.6922
loop:    138000, alpha:   14.2500, rms:    1.6922
loop:    138400, alpha:   14.2500, rms:    1.6921
loop:    138800, alpha:   14.2500, rms:    1.6921
loop:    139200, alpha:   14.2500, rms:    1.6920
loop:    139600, alpha:   14.2500, rms:    1.6920
Have memorized arrays 15 times
loop:    140000, alpha:   14.2500, rms:    1.6919
loop:    140400, alpha:   14.2500, rms:    1.6919
loop:    140800, alpha:   14.2500, rms:    1.6918
loop:    141200, alpha:   14.2500, rms:    1.6918
loop:    141600, alpha:   14.2500, rms:    1.6917
loop:    142000, alpha:   14.2500, rms:    1.6917
loop:    142400, alpha:   14.2500, rms:    1.6916
loop:    142800, alpha:   14.2500, rms:    1.6915
loop:    143200, alpha:   14.2500, rms:    1.6915
loop:    143600, alpha:   14.2500, rms:    1.6914
loop:    144000, alpha:   14.2500, rms:    1.6914
loop:    144400, alpha:   14.2500, rms:    1.6913
loop:    144800, alpha:   14.2500, rms:    1.6913
loop:    145200, alpha:   14.2500, rms:    1.6912
loop:    145600, alpha:   14.2500, rms:    1.6912
loop:    146000, alpha:   14.2500, rms:    1.6911
loop:    146400, alpha:   14.2500, rms:    1.6910
loop:    146800, alpha:   14.2500, rms:    1.6910
loop:    147200, alpha:   14.2500, rms:    1.6909
loop:    147600, alpha:   14.2500, rms:    1.6909
loop:    148000, alpha:   14.2500, rms:    1.6908
loop:    148400, alpha:   14.2500, rms:    1.6908
loop:    148800, alpha:   14.2500, rms:    1.6907
loop:    149200, alpha:   14.2500, rms:    1.6906
loop:    149600, alpha:   14.2500, rms:    1.6906
Have memorized arrays 16 times
loop:    150000, alpha:   14.2500, rms:    1.6905
loop:    150400, alpha:   14.2500, rms:    1.6905
loop:    150800, alpha:   14.2500, rms:    1.6904
loop:    151200, alpha:   14.2500, rms:    1.6904
loop:    151600, alpha:   14.2500, rms:    1.6903
loop:    152000, alpha:   14.2500, rms:    1.6902
loop:    152400, alpha:   14.2500, rms:    1.6902
loop:    152800, alpha:   14.2500, rms:    1.6901
loop:    153200, alpha:   14.2500, rms:    1.6901
loop:    153600, alpha:   14.2500, rms:    1.6900
loop:    154000, alpha:   14.2500, rms:    1.6900
loop:    154400, alpha:   14.2500, rms:    1.6899
loop:    154800, alpha:   14.2500, rms:    1.6898
loop:    155200, alpha:   14.2500, rms:    1.6898
loop:    155600, alpha:   14.2500, rms:    1.6897
loop:    156000, alpha:   14.2500, rms:    1.6897
loop:    156400, alpha:   14.2500, rms:    1.6896
loop:    156800, alpha:   14.2500, rms:    1.6896
loop:    157200, alpha:   14.2500, rms:    1.6895
loop:    157600, alpha:   14.2500, rms:    1.6894
loop:    158000, alpha:   14.2500, rms:    1.6894
loop:    158400, alpha:   14.2500, rms:    1.6893
loop:    158800, alpha:   14.2500, rms:    1.6893
loop:    159200, alpha:   14.2500, rms:    1.6892
loop:    159600, alpha:   14.2500, rms:    1.6891
Have memorized arrays 17 times
loop:    160000, alpha:   14.2500, rms:    1.6891
loop:    160400, alpha:   14.2500, rms:    1.6890
loop:    160800, alpha:   14.2500, rms:    1.6890
loop:    161200, alpha:   14.2500, rms:    1.6889
loop:    161600, alpha:   14.2500, rms:    1.6888
loop:    162000, alpha:   14.2500, rms:    1.6888
loop:    162400, alpha:   14.2500, rms:    1.6887
loop:    162800, alpha:   14.2500, rms:    1.6887
loop:    163200, alpha:   14.2500, rms:    1.6886
loop:    163600, alpha:   14.2500, rms:    1.6886
loop:    164000, alpha:   14.2500, rms:    1.6885
loop:    164400, alpha:   14.2500, rms:    1.6884
loop:    164800, alpha:   14.2500, rms:    1.6884
loop:    165200, alpha:   14.2500, rms:    1.6883
loop:    165600, alpha:   14.2500, rms:    1.6883
loop:    166000, alpha:   14.2500, rms:    1.6882
loop:    166400, alpha:   14.2500, rms:    1.6881
loop:    166800, alpha:   14.2500, rms:    1.6881
loop:    167200, alpha:   14.2500, rms:    1.6880
