     Count               Iteration-1          Iteration-143001 
       146  0.000000000000000000e+00  2.044833070602993519e-01 
       147  0.000000000000000000e+00  2.097029479057929691e-01 
       148  0.000000000000000000e+00  2.150194633647900810e-01 
       149  0.000000000000000000e+00  2.204338362982294908e-01 
       150  0.000000000000000000e+00  2.259470496806364748e-01 
       151  0.000000000000000000e+00  2.315601521966254572e-01 
       152  0.000000000000000000e+00  2.372742536642070688e-01 
       153  0.000000000000000000e+00  2.430905206232618354e-01 
       154  0.000000000000000000e+00  2.490101720141898733e-01 
       155  0.000000000000000000e+00  2.550344750187120146e-01 
       156  0.000000000000000000e+00  2.611647409880254456e-01 
       157  0.000000000000000000e+00  2.674023018636483284e-01 
       158  0.000000000000000000e+00  2.737485071967954986e-01 
       159  0.000000000000000000e+00  2.802047251905284697e-01 
       160  0.000000000000000000e+00  2.867723397543018304e-01 
       161  0.000000000000000000e+00  2.934527476954482128e-01 
       162  0.000000000000000000e+00  3.002473559764917699e-01 
       163  0.000000000000000000e+00  3.071576293597648166e-01 
       164  0.000000000000000000e+00  3.141850856928306013e-01 
       165  0.000000000000000000e+00  3.213312913742249477e-01 
       166  0.000000000000000000e+00  3.285978569136173144e-01 
       167  0.000000000000000000e+00  3.359864326679982693e-01 
       168  0.000000000000000000e+00  3.434987046684363499e-01 
       169  0.000000000000000000e+00  3.511363665621317631e-01 
       170  0.000000000000000000e+00  3.589011167353399201e-01 
       171  0.000000000000000000e+00  3.667946555802725217e-01 
       172  0.000000000000000000e+00  3.748186828273604720e-01 
       173  0.000000000000000000e+00  3.829748617350404172e-01 
       174  0.000000000000000000e+00  3.912648180593675806e-01 
       175  0.000000000000000000e+00  3.996901391273252058e-01 
       176  0.000000000000000000e+00  4.082523729447511962e-01 
       177  0.000000000000000000e+00  4.169530274050211038e-01 
       178  0.000000000000000000e+00  4.257935695294524647e-01 
       179  0.000000000000000000e+00  4.347754471860013625e-01 
       180  0.000000000000000000e+00  4.439000874912709671e-01 
       181  0.000000000000000000e+00  4.531689580443614140e-01 
       182  0.000000000000000000e+00  4.625835627831916819e-01 
       183  0.000000000000000000e+00  4.721454380184916255e-01 
       184  0.000000000000000000e+00  4.818561485519235466e-01 
       185  0.000000000000000000e+00  4.917173370383550735e-01 
       186  0.000000000000000000e+00  5.017307180698650226e-01 
       187  0.000000000000000000e+00  5.118980724842883134e-01 
       188  0.000000000000000000e+00  5.222212417888024705e-01 
       189  0.000000000000000000e+00  5.327021228039164891e-01 
       190  0.000000000000000000e+00  5.433426624181224573e-01 
       191  0.000000000000000000e+00  5.541448265470851897e-01 
       192  0.000000000000000000e+00  5.651105963326696902e-01 
       193  0.000000000000000000e+00  5.762419686008934949e-01 
       194  0.000000000000000000e+00  5.875409521537631186e-01 
       195  0.000000000000000000e+00  5.990095642459891678e-01 
       196  0.000000000000000000e+00  6.106498271430612634e-01 
       197  0.000000000000000000e+00  6.224638158134060406e-01 
       198  0.000000000000000000e+00  6.344536525454336218e-01 
       199  0.000000000000000000e+00  6.466215017914458407e-01 
       200  0.000000000000000000e+00  6.589695651197374771e-01 
       201  0.000000000000000000e+00  6.715000763889061863e-01 
       202  0.000000000000000000e+00  6.842152970258897904e-01 
       203  0.000000000000000000e+00  6.971174767743383294e-01 
       204  0.000000000000000000e+00  7.102088507871126000e-01 
       205  0.000000000000000000e+00  7.234916630475977106e-01 
       206  0.000000000000000000e+00  7.369681625809176850e-01 
       207  0.000000000000000000e+00  7.506405998644339883e-01 
       208  0.000000000000000000e+00  7.645112233208187780e-01 
       209  0.000000000000000000e+00  7.785822753137607855e-01 
       210  0.000000000000000000e+00  7.928559889435667918e-01 
       211  0.000000000000000000e+00  8.073345850318806027e-01 
       212  0.000000000000000000e+00  8.220202691797343642e-01 
       213  0.000000000000000000e+00  8.369152290103584191e-01 
       214  0.000000000000000000e+00  8.520216314808310987e-01 
       215  0.000000000000000000e+00  8.673416808516414278e-01 
       216  0.000000000000000000e+00  8.828776136343120529e-01 
       217  0.000000000000000000e+00  8.986317081069782331e-01 
       218  0.000000000000000000e+00  9.146062789839567442e-01 
       219  0.000000000000000000e+00  9.308036723316672756e-01 
       220  0.000000000000000000e+00  9.472262605933169377e-01 
       221  0.000000000000000000e+00  9.638764803031704131e-01 
       222  0.000000000000000000e+00  9.807568256253670347e-01 
       223  0.000000000000000000e+00  9.978698421723031231e-01 
       224  0.000000000000000000e+00  1.015218120950916347e+00 
       225  0.000000000000000000e+00  1.032804292582223393e+00 
       226  0.000000000000000000e+00  1.050631021642929319e+00 
       227  0.000000000000000000e+00  1.068700972618872758e+00 
       228  0.000000000000000000e+00  1.087016805865724800e+00 
       229  0.000000000000000000e+00  1.105581189459218683e+00 
       230  0.000000000000000000e+00  1.124396794801980182e+00 
       231  0.000000000000000000e+00  1.143466292472635315e+00 
       232  0.000000000000000000e+00  1.162792348168870449e+00 
       233  0.000000000000000000e+00  1.182377664223611902e+00 
       234  0.000000000000000000e+00  1.202224973916287132e+00 
       235  0.000000000000000000e+00  1.222337036059392368e+00 
       236  0.000000000000000000e+00  1.242716629699185615e+00 
       237  0.000000000000000000e+00  1.263366549085603641e+00 
