Count	Target	Error	Dwell Time	Expected Figure	Sputter Yield              Error in RMS           Target Elements             Unit Elements            Total Elements
315	2.81E+02	-4.89E-01	3.59E+03	2.82E+02	0.00E+00
316	2.81E+02	6.46E-01	3.84E+03	2.81E+02	0.00E+00
317	2.82E+02	1.80E+00	4.02E+03	2.80E+02	0.00E+00
318	2.82E+02	2.81E+00	4.09E+03	2.79E+02	0.00E+00
319	2.82E+02	3.51E+00	4.02E+03	2.79E+02	0.00E+00
320	2.83E+02	3.80E+00	3.91E+03	2.79E+02	0.00E+00
321	2.83E+02	3.61E+00	3.76E+03	2.80E+02	0.00E+00
322	2.84E+02	2.96E+00	3.50E+03	2.81E+02	0.00E+00
323	2.84E+02	1.93E+00	3.41E+03	2.82E+02	0.00E+00
324	2.85E+02	6.68E-01	3.42E+03	2.84E+02	0.00E+00
325	2.86E+02	-6.68E-01	3.47E+03	2.87E+02	0.00E+00
326	2.87E+02	-1.90E+00	3.61E+03	2.89E+02	0.00E+00
327	2.88E+02	-2.88E+00	3.87E+03	2.90E+02	0.00E+00
328	2.88E+02	-3.47E+00	4.27E+03	2.92E+02	0.00E+00
329	2.89E+02	-3.60E+00	4.80E+03	2.93E+02	0.00E+00
330	2.90E+02	-3.27E+00	5.46E+03	2.93E+02	0.00E+00
331	2.91E+02	-2.56E+00	6.19E+03	2.94E+02	0.00E+00
332	2.92E+02	-1.61E+00	6.94E+03	2.94E+02	0.00E+00
333	2.93E+02	-5.92E-01	7.66E+03	2.94E+02	0.00E+00
334	2.94E+02	3.09E-01	8.28E+03	2.94E+02	0.00E+00
335	2.95E+02	9.69E-01	8.75E+03	2.94E+02	0.00E+00
336	2.97E+02	1.33E+00	9.03E+03	2.95E+02	0.00E+00
337	2.98E+02	1.42E+00	9.10E+03	2.96E+02	0.00E+00
338	2.99E+02	1.35E+00	8.96E+03	2.98E+02	0.00E+00
339	3.00E+02	1.23E+00	8.63E+03	2.99E+02	0.00E+00
340	3.02E+02	1.16E+00	8.17E+03	3.01E+02	0.00E+00
341	3.03E+02	1.18E+00	7.64E+03	3.02E+02	0.00E+00
342	3.05E+02	1.26E+00	7.12E+03	3.04E+02	0.00E+00
343	3.06E+02	1.37E+00	6.68E+03	3.05E+02	0.00E+00
344	3.08E+02	1.45E+00	6.40E+03	3.07E+02	0.00E+00
345	3.10E+02	1.43E+00	6.36E+03	3.08E+02	0.00E+00
346	3.11E+02	1.31E+00	6.57E+03	3.10E+02	0.00E+00
347	3.13E+02	1.08E+00	7.08E+03	3.12E+02	0.00E+00
348	3.15E+02	7.51E-01	7.84E+03	3.14E+02	0.00E+00
349	3.16E+02	3.55E-01	8.83E+03	3.16E+02	0.00E+00
350	3.18E+02	-9.28E-02	9.95E+03	3.18E+02	0.00E+00
