     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-300000          Iteration-500001 
       108  4.894043326351600598e+01  4.894043326351600598e+01  4.998397851394776126e+01  4.987680227585187254e+01  4.987680233954494469e+01  4.987680240315297908e+01 
       109  4.965161290370505043e+01  4.965161290370505043e+01  5.077846420848059950e+01  5.073369936517683243e+01  5.073369944195875547e+01  5.073369951863815430e+01 
       110  5.036265669184087557e+01  5.036265669184087557e+01  5.157704327246083409e+01  5.159740123774571430e+01  5.159740132804255808e+01  5.159740141821885828e+01 
       111  5.107356431877147429e+01  5.107356431877147429e+01  5.237980846819328207e+01  5.246604871949624282e+01  5.246604882328148989e+01  5.246604892692821664e+01 
       112  5.178403249198746039e+01  5.178403249198746039e+01  5.318654930693232785e+01  5.333819792410226057e+01  5.333819804094653705e+01  5.333819815763482808e+01 
       113  5.249338242529877618e+01  5.249338242529877618e+01  5.399667940534907729e+01  5.421289100299260610e+01  5.421289113214871946e+01  5.421289126113235568e+01 
       114  5.320047469251801431e+01  5.320047469251801431e+01  5.480915121591510086e+01  5.508958025849988616e+01  5.508958039901320092e+01  5.508958053933891819e+01 
       115  5.390358500461335467e+01  5.390358500461335467e+01  5.562233170344482858e+01  5.596789053989901674e+01  5.596789069072497114e+01  5.596789084134947245e+01 
       116  5.460020283318812062e+01  5.460020283318812062e+01  5.643380090006800742e+01  5.684721829253574299e+01  5.684721845265170970e+01  5.684721861255388831e+01 
       117  5.528674779132781225e+01  5.528674779132781225e+01  5.724006825370663876e+01  5.772622493881679873e+01  5.772622510731630996e+01  5.772622527559079941e+01 
       118  5.595826473280126834e+01  5.595826473280126834e+01  5.803626772975315617e+01  5.860236121587406188e+01  5.860236139203512096e+01  5.860236156796099039e+01 
       119  5.660819757677636943e+01  5.660819757677636943e+01  5.881593166870815281e+01  5.947158896920753079e+01  5.947158915252794031e+01  5.947158933560356786e+01 
