Count	Target	Error	Dwell Time	Expected Figure	Sputter Yield              Error in RMS           Target Elements             Unit Elements            Total Elements
324	3.91E+02	-1.56E+01	1.50E+03	4.07E+02	0.00E+00
325	3.93E+02	-1.60E+01	1.50E+03	4.10E+02	0.00E+00
326	3.96E+02	-1.69E+01	1.50E+03	4.13E+02	0.00E+00
327	3.98E+02	-1.81E+01	1.50E+03	4.16E+02	0.00E+00
328	4.01E+02	-1.93E+01	1.50E+03	4.20E+02	0.00E+00
329	4.04E+02	-2.02E+01	1.50E+03	4.24E+02	0.00E+00
330	4.06E+02	-2.15E+01	1.50E+03	4.27E+02	0.00E+00
331	4.08E+02	-2.26E+01	1.50E+03	4.31E+02	0.00E+00
332	4.11E+02	-2.30E+01	1.50E+03	4.34E+02	0.00E+00
333	4.13E+02	-2.34E+01	1.50E+03	4.36E+02	0.00E+00
334	4.16E+02	-2.31E+01	1.50E+03	4.39E+02	0.00E+00
335	4.19E+02	-2.24E+01	1.50E+03	4.41E+02	0.00E+00
336	4.22E+02	-2.18E+01	6.09E+03	4.44E+02	0.00E+00
337	4.25E+02	-2.11E+01	1.27E+04	4.47E+02	0.00E+00
338	4.30E+02	-2.03E+01	1.81E+04	4.50E+02	0.00E+00
339	4.35E+02	-1.91E+01	2.23E+04	4.54E+02	0.00E+00
340	4.42E+02	-1.81E+01	2.53E+04	4.60E+02	0.00E+00
341	4.49E+02	-1.75E+01	2.72E+04	4.66E+02	0.00E+00
342	4.57E+02	-1.73E+01	2.80E+04	4.74E+02	0.00E+00
343	4.65E+02	-1.78E+01	2.79E+04	4.83E+02	0.00E+00
344	4.73E+02	-1.91E+01	2.74E+04	4.92E+02	0.00E+00
345	4.82E+02	-1.98E+01	2.67E+04	5.02E+02	0.00E+00
346	4.92E+02	-1.96E+01	2.64E+04	5.12E+02	0.00E+00
347	5.03E+02	-1.79E+01	2.69E+04	5.21E+02	0.00E+00
348	5.14E+02	-1.52E+01	2.83E+04	5.30E+02	0.00E+00
349	5.26E+02	-1.07E+01	3.08E+04	5.37E+02	0.00E+00
350	5.38E+02	-5.24E+00	3.44E+04	5.44E+02	0.00E+00
351	5.51E+02	1.84E+00	3.86E+04	5.49E+02	0.00E+00
352	5.64E+02	9.91E+00	4.30E+04	5.54E+02	0.00E+00
353	5.76E+02	1.82E+01	4.67E+04	5.58E+02	0.00E+00
354	5.89E+02	2.69E+01	4.89E+04	5.62E+02	0.00E+00
355	6.02E+02	3.54E+01	4.89E+04	5.66E+02	0.00E+00
356	6.15E+02	4.33E+01	4.62E+04	5.71E+02	0.00E+00
357	6.27E+02	4.98E+01	4.05E+04	5.78E+02	0.00E+00
358	6.40E+02	5.49E+01	3.22E+04	5.86E+02	0.00E+00
359	6.53E+02	5.79E+01	2.20E+04	5.96E+02	0.00E+00
360	6.66E+02	5.85E+01	1.07E+04	6.08E+02	0.00E+00
361	6.79E+02	5.72E+01	1.50E+03	6.22E+02	0.00E+00
362	6.92E+02	5.38E+01	1.50E+03	6.38E+02	0.00E+00
363	7.04E+02	4.85E+01	1.50E+03	6.56E+02	0.00E+00
364	7.16E+02	4.18E+01	1.50E+03	6.74E+02	0.00E+00
365	7.28E+02	3.41E+01	1.50E+03	6.94E+02	0.00E+00
366	7.39E+02	2.64E+01	1.50E+03	7.13E+02	0.00E+00
