     Count               Iteration-1              Iteration-40              Iteration-80              Iteration-88 
        75  0.000000000000000000e+00  9.090909094271336244e+02  9.090909090909756287e+02  9.090909090911437715e+02 
        76  0.000000000000000000e+00  9.090909094271084996e+02  9.090909090910374744e+02  9.090909090908993448e+02 
        77  0.000000000000000000e+00  9.090909094271133881e+02  9.090909090909036649e+02  9.090909090908203325e+02 
        78  0.000000000000000000e+00  9.090909094271266895e+02  9.090909090908613734e+02  9.090909090909024144e+02 
        79  0.000000000000000000e+00  9.090909094271338518e+02  9.090909090909036649e+02  9.090909090909414090e+02 
        80  0.000000000000000000e+00  9.090909094271352160e+02  9.090909090909254928e+02  9.090909090909154884e+02 
        81  0.000000000000000000e+00  9.090909094271354434e+02  9.090909090909140104e+02  9.090909090908980943e+02 
        82  0.000000000000000000e+00  9.090909094271362392e+02  9.090909090909040060e+02  9.090909090909051429e+02 
        83  0.000000000000000000e+00  9.090909094271372624e+02  9.090909090909066208e+02  9.090909090909126462e+02 
        84  0.000000000000000000e+00  9.090909094271381718e+02  9.090909090909105998e+02  9.090909090909111683e+02 
        85  0.000000000000000000e+00  9.090909094271388540e+02  9.090909090909104862e+02  9.090909090909079850e+02 
        86  0.000000000000000000e+00  9.090909094271390813e+02  9.090909090909091219e+02  9.090909090909082124e+02 
        87  0.000000000000000000e+00  9.090909094271394224e+02  9.090909090909087809e+02  9.090909090909091219e+02 
        88  0.000000000000000000e+00  9.090909094271395361e+02  9.090909090909092356e+02  9.090909090909091219e+02 
        89  0.000000000000000000e+00  9.090909094271396498e+02  9.090909090909094630e+02  9.090909090909090082e+02 
        90  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909094630e+02  9.090909090909088945e+02 
        91  0.000000000000000000e+00  9.090909094271397635e+02  9.090909090909094630e+02  9.090909090909088945e+02 
        92  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909092356e+02  9.090909090909087809e+02 
        93  0.000000000000000000e+00  9.090909094271401045e+02  9.090909090909093493e+02  9.090909090909088945e+02 
        94  0.000000000000000000e+00  9.090909094271399908e+02  9.090909090909094630e+02  9.090909090909090082e+02 
        95  0.000000000000000000e+00  9.090909094271399908e+02  9.090909090909093493e+02  9.090909090909087809e+02 
        96  0.000000000000000000e+00  9.090909094271399908e+02  9.090909090909093493e+02  9.090909090909087809e+02 
        97  0.000000000000000000e+00  9.090909094271399908e+02  9.090909090909094630e+02  9.090909090909088945e+02 
        98  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909094630e+02  9.090909090909090082e+02 
        99  0.000000000000000000e+00  9.090909094271399908e+02  9.090909090909093493e+02  9.090909090909088945e+02 
       100  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909093493e+02  9.090909090909088945e+02 
       101  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909093493e+02  9.090909090909088945e+02 
       102  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909093493e+02  9.090909090909090082e+02 
       103  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909093493e+02  9.090909090909087809e+02 
       104  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909093493e+02  9.090909090909087809e+02 
       105  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909094630e+02  9.090909090909087809e+02 
       106  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909094630e+02  9.090909090909087809e+02 
       107  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909094630e+02  9.090909090909087809e+02 
       108  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909094630e+02  9.090909090909087809e+02 
       109  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909094630e+02  9.090909090909087809e+02 
       110  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909094630e+02  9.090909090909087809e+02 
       111  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909094630e+02  9.090909090909087809e+02 
       112  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909094630e+02  9.090909090909087809e+02 
       113  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909094630e+02  9.090909090909087809e+02 
       114  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909094630e+02  9.090909090909086672e+02 
       115  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909094630e+02  9.090909090909086672e+02 
       116  0.000000000000000000e+00  9.090909094271398772e+02  9.090909090909094630e+02  9.090909090909086672e+02 
