     Count               Iteration-1              Iteration-10              Iteration-20              Iteration-30              Iteration-40              Iteration-50              Iteration-60              Iteration-70              Iteration-80              Iteration-88 
        35  0.000000000000000000e+00  9.150237951173132842e+02  9.091704809999982899e+02  9.091302938298629215e+02  9.090772667210885629e+02  9.090487910900264978e+02  9.090432916508789276e+02  9.090493503384952874e+02  9.090588997488697487e+02  9.090671621461034420e+02 
        36  0.000000000000000000e+00  9.150800438872765881e+02  9.091305648848729106e+02  9.090581963407646526e+02  9.090507907407295534e+02  9.090655105413947012e+02  9.090813741087605422e+02  9.090920611037583967e+02  9.090977646964745418e+02  9.091000670779844768e+02 
        37  0.000000000000000000e+00  9.151143231479092037e+02  9.090961772282319089e+02  9.090755775950688076e+02  9.090990779581968582e+02  9.091115562362258515e+02  9.091126767223714751e+02  9.091084737776471911e+02  9.091030857270104661e+02  9.090987702692119683e+02 
        38  0.000000000000000000e+00  9.151262486435167602e+02  9.091040368854211238e+02  9.091019294457667002e+02  9.091048308214205917e+02  9.090968636429271328e+02  9.090891871735244649e+02  9.090850290108617173e+02  9.090838292317511105e+02  9.090841979226992180e+02 
        39  0.000000000000000000e+00  9.151303655730578157e+02  9.091169833228930202e+02  9.090974142753582328e+02  9.090877220811823918e+02  9.090827877382387214e+02  9.090831583115175363e+02  9.090856222440610281e+02  9.090881271921631424e+02  9.090898104022594453e+02 
        40  0.000000000000000000e+00  9.151341497987456250e+02  9.091173843025126189e+02  9.090875954962790502e+02  9.090856950800313143e+02  9.090893587173380865e+02  9.090928525119575170e+02  9.090944861179137888e+02  9.090946445946522090e+02  9.090941407808786607e+02 
        41  0.000000000000000000e+00  9.151381159321114183e+02  9.091134581564684822e+02  9.090883583668926349e+02  9.090920548977954923e+02  9.090940535166437257e+02  9.090935245421355830e+02  9.090921358215956616e+02  9.090909457654602193e+02  9.090902956983090917e+02 
        42  0.000000000000000000e+00  9.151411696916798064e+02  9.091123884561349087e+02  9.090918581874253732e+02  9.090928859197921383e+02  9.090913682841974151e+02  9.090898990997817464e+02  9.090893450260012969e+02  9.090894612827913761e+02  9.090898040083956175e+02 
        43  0.000000000000000000e+00  9.151429630542747873e+02  9.091134088774642805e+02  9.090920415490037385e+02  9.090905579888398051e+02  9.090896826307348420e+02  9.090899896898104089e+02  9.090906764630740327e+02  9.090912101406617012e+02  9.090914532774237387e+02 
        44  0.000000000000000000e+00  9.151438115157833408e+02  9.091141147861143281e+02  9.090908673855656161e+02  9.090901659873708240e+02  9.090907613896603152e+02  9.090913732790115773e+02  9.090915430939949147e+02  9.090914075518597883e+02  9.090912042358679628e+02 
        45  0.000000000000000000e+00  9.151441465464894236e+02  9.091140718911940439e+02  9.090906091337077441e+02  9.090909826461673902e+02  9.090913764419068457e+02  9.090912381059929430e+02  9.090909292029145945e+02  9.090907110746554736e+02  9.090906349376956541e+02 
        46  0.000000000000000000e+00  9.151442593520713444e+02  9.091138777044935750e+02  9.090909631883569091e+02  9.090911859260966139e+02  9.090909678513640984e+02  9.090907094523261094e+02  9.090906557747043735e+02  9.090907414331346672e+02  9.090908458642960568e+02 
        47  0.000000000000000000e+00  9.151442921496926601e+02  9.091138504374206377e+02  9.090911210375036262e+02  9.090909124447507565e+02  9.090907353779321056e+02  9.090907904240926882e+02  9.090909246766182150e+02  9.090910103097359070e+02  9.090910283411543560e+02 
        48  0.000000000000000000e+00  9.151443004392763214e+02  9.091139208681860282e+02  9.090910357081269240e+02  9.090908100697129157e+02  9.090908802754750013e+02  9.090909892748675247e+02  9.090910079334535112e+02  9.090909638870750769e+02  9.090909157612406943e+02 
        49  0.000000000000000000e+00  9.151443022645128167e+02  9.091139729394126334e+02  9.090909638069761058e+02  9.090908949629731524e+02  9.090909722729182931e+02  9.090909534093312914e+02  9.090908960295095085e+02  9.090908622353153987e+02  9.090908599498881131e+02 
        50  0.000000000000000000e+00  9.151443026139600079e+02  9.091139853365118597e+02  9.090909748828382817e+02  9.090909427147192901e+02  9.090909240576287402e+02  9.090908785503712579e+02  9.090908712252661417e+02  9.090908920453546216e+02  9.090909131265926817e+02 
        51  0.000000000000000000e+00  9.151443026717835210e+02  9.091139841190354218e+02  9.090910015742089172e+02  9.090909199162558707e+02  9.090908868919053702e+02  9.090908917659535291e+02  9.090909157715728952e+02  9.090909292718010875e+02  9.090909284396475414e+02 
        52  0.000000000000000000e+00  9.151443026799614699e+02  9.091139863707853692e+02  9.090910052898234426e+02  9.090908995150557530e+02  9.090909015337217625e+02  9.090909202257500965e+02  9.090909235892336255e+02  9.090909142489020951e+02  9.090909052071116321e+02 
