RMS,0.132356623,Time,2018/1/8 4:32,,
count,purpose,ResidualError,TimeDistribution,Working,spot
421,450.5032122,0,1,9.445868008,9.13E-05
422,450.5032122,0,1,9.518196468,9.17E-05
423,450.5032122,0,1,9.590956923,9.21E-05
424,450.5032122,0,1,9.664149714,9.25E-05
425,450.5032122,0,1,9.737775137,9.28E-05
426,450.5032122,0,1,9.8118335,9.32E-05
427,450.5032122,0,1,9.886325072,9.36E-05
428,450.5032122,0,1,9.961250128,9.40E-05
429,450.5032122,0,1,10.03660915,9.44E-05
430,450.5032122,0,1,10.11240261,9.48E-05
431,450.5032122,0,1,10.18863097,9.52E-05
432,450.5032122,0,1,10.26529466,9.56E-05
433,450.5032122,0,1,10.3423941,9.60E-05
434,450.5032122,0,1,10.41992965,9.64E-05
435,450.5032122,0,1,10.49790162,9.68E-05
436,450.5032122,0,1,10.57631033,9.72E-05
437,450.5032122,0,1,10.65515612,9.76E-05
438,450.5032122,0,1,10.73443936,9.80E-05
439,450.5032122,0,1,10.81416037,9.83E-05
440,450.5032122,0,1,10.89431954,9.87E-05
441,450.5032122,0,1,10.97491535,9.90E-05
442,450.5032122,0,1,11.05594635,9.94E-05
443,450.5032122,0,1,11.13741112,9.97E-05
444,450.5032122,0,1,11.21930835,0.00010009
445,450.5032122,0,1,11.30163673,0.000100442
446,450.5032122,0,1,11.38439509,0.000100793
447,450.5032122,0,1,11.46758233,0.000101145
448,450.5032122,0,1,11.55119744,0.000101496
449,450.5032122,0,1,11.63523949,0.000101847
450,450.5032122,0,1,11.71970761,0.000102199
451,450.5032122,0,1,11.80460102,0.000102597
452,450.5032122,0,1,11.88991905,0.000102995
453,450.5032122,0,1,11.97566307,0.000103393
454,450.5032122,0,1,12.06183452,0.000103792
455,450.5032122,0,1,12.1484348,0.00010419
456,450.5032122,0,1,12.23546543,0.000104588
457,450.5032122,0,1,12.32292784,0.000104986
458,450.5032122,0,1,12.41082351,0.000105384
459,450.5032122,0,1,12.49915386,0.000105783
460,450.5032122,0,1,12.58792042,0.000106181
461,450.5032122,0,1,12.67712474,0.000106579
462,450.5032122,0,1,12.76676845,0.000106977
463,450.5032122,0,1,12.85685312,0.000107355
464,450.5032122,0,1,12.94738046,0.000107732
465,450.5032122,0,1,13.03835127,0.00010811
466,450.5032122,0,1,13.12976642,0.000108488
467,450.5032122,0,1,13.22162684,0.000108865
468,450.5032122,0,1,13.31393355,0.000109243
469,450.5032122,0,1,13.40668756,0.00010962
470,450.5032122,0,1,13.49988999,0.000109998
471,450.5032122,0,1,13.59354198,0.000110376
472,450.5032122,0,1,13.6876448,0.000110753
473,450.5032122,0,1,13.7821998,0.000111131
474,450.5032122,0,1,13.87720836,0.000111508
475,450.5032122,0,1,13.97267198,0.000111871
476,450.5032122,0,1,14.06859221,0.000112234
477,450.5032122,0,1,14.16497001,0.000112597
478,450.5032122,0,1,14.2618065,0.00011296
479,450.5032122,0,1,14.35910281,0.000113323
480,450.5032122,0,1,14.45686022,0.000113685
481,450.5032122,0,1,14.55508003,0.000114048
482,450.5032122,0,1,14.65376351,0.000114411
483,450.5032122,0,1,14.75291186,0.000114774
484,450.5032122,0,1,14.85252628,0.000115137
485,450.5032122,0,1,14.95260789,0.0001155
486,450.5032122,0,1,15.0531578,0.000115863
487,450.5032122,0,1,15.1541771,0.000116304
488,450.5032122,0,1,15.25566683,0.000116745
489,450.5032122,0,1,15.35763136,0.000117186
490,450.5032122,0,1,15.46007499,0.000117627
491,450.5032122,0,1,15.56300186,0.000118068
492,450.5032122,0,1,15.66641605,0.000118509
493,450.5032122,0,1,15.77032151,0.00011895
494,450.5032122,0,1,15.8747223,0.000119391
495,450.5032122,0,1,15.9796225,0.000119832
496,450.5032122,0,1,16.08502629,0.000120272
497,450.5032122,0,1,16.19093774,0.000120589
498,450.5032122,0,1,16.2973611,0.000120905
499,450.5032122,0,1,16.40429521,0.000121221
500,450.5032122,0,1,16.5117391,0.000121537
501,450.5032122,0,1,16.61969192,0.000121853
502,450.5032122,0,1,16.72815304,0.000122169
503,450.5032122,0,1,16.83712197,0.000122486
504,450.5032122,0,1,16.94659838,0.000122802
505,450.5032122,0,1,17.05658208,0.000123118
506,450.5032122,0,1,17.16707288,0.000123434
507,450.5032122,0,1,17.27807058,0.00012375
508,450.5032122,0,1,17.38957504,0.000124066
509,450.5032122,0,1,17.50158614,0.00012441
510,450.5032122,0,1,17.61410374,0.000124754
511,450.5032122,0,1,17.72712899,0.000125098
512,450.5032122,0,1,17.84066299,0.000125442
513,450.5032122,0,1,17.95470686,0.000125786
514,450.5032122,0,1,18.06926169,0.00012613
515,450.5032122,0,1,18.18432856,0.000126474
516,450.5032122,0,1,18.29990856,0.000126818
517,450.5032122,0,1,18.4160027,0.000127162
518,450.5032122,0,1,18.5326121,0.000127506
519,450.5032122,0,1,18.64973782,0.00012785
520,450.5032122,0,1,18.76738103,0.000128194
521,450.5032122,0,1,18.88554283,0.0001285
522,450.5032122,0,1,19.00422442,0.000128805
523,450.5032122,0,1,19.12342532,0.000129111
524,450.5032122,0,1,19.2431451,0.000129417
525,450.5032122,0,1,19.36338342,0.000129723
526,450.5032122,0,1,19.48414001,0.000130028
527,450.5032122,0,1,19.60541465,0.000130334
528,450.5032122,0,1,19.7272073,0.00013064
529,450.5032122,0,1,19.84951815,0.000130946
530,450.5032122,0,1,19.97234762,0.000131251
531,450.5032122,0,1,20.0956963,0.000131557
532,450.5032122,0,1,20.21956498,0.000131863
533,450.5032122,0,1,20.34395462,0.00013217
534,450.5032122,0,1,20.46886644,0.000132477
535,450.5032122,0,1,20.59430179,0.000132784
536,450.5032122,0,1,20.72026226,0.00013309
537,450.5032122,0,1,20.84674955,0.000133397
538,450.5032122,0,1,20.97376551,0.000133704
539,450.5032122,0,1,21.10131213,0.000134011
540,450.5032122,0,1,21.22939138,0.000134318
541,450.5032122,0,1,21.35800513,0.000134625
542,450.5032122,0,1,21.48715521,0.000134932
543,450.5032122,0,1,21.61684345,0.000135239
544,450.5032122,0,1,21.74707163,0.000135545
545,450.5032122,0,1,21.87784149,0.000135834
546,450.5032122,0,1,22.00915472,0.000136122
547,450.5032122,0,1,22.14101224,0.00013641
548,450.5032122,0,1,22.27341491,0.000136698
549,450.5032122,0,1,22.40636359,0.000136987
550,450.5032122,0,1,22.53985916,0.000137275
551,450.5032122,0,1,22.67390249,0.000137563
552,450.5032122,0,1,22.80849459,0.000137851
553,450.5032122,0,1,22.9436366,0.00013814
554,450.5032122,0,1,23.07932984,0.000138428
555,450.5032122,0,1,23.21557582,0.000138716
