RMS,0.09999921,Time,2018/1/8 13:11,,
count,purpose,ResidualError,TimeDistribution,Working,spot
1336,509.0630364,0.008342773,4479.523624,509.0546936,0.000130643
1337,509.1874377,0.007813183,4477.894748,509.1796245,0.000131088
1338,509.3114622,0.00743921,4475.788923,509.304023,0.000131534
1339,509.4349116,0.006992264,4473.240435,509.4279193,0.000131979
1340,509.5579861,0.006645911,4470.252585,509.5513402,0.000132507
1341,509.6804859,0.006176989,4466.85552,509.6743089,0.000133035
1342,509.8026098,0.005764058,4464.194833,509.7968457,0.000133563
1343,509.9241601,0.005214055,4462.223074,509.918946,0.000134091
1344,510.045335,0.004731284,4460.867422,510.0406037,0.000134619
1345,510.1659361,0.004124363,4460.086974,510.1618117,0.000135147
1346,510.2861634,0.003601019,4459.815106,510.2825624,0.000135676
1347,510.4058162,0.002968809,4460.016708,510.4028474,0.000136177
1348,510.5250953,0.002437378,4460.630384,510.5226579,0.000136651
1349,510.6438018,0.001817089,4461.467369,510.6419847,0.000137125
1350,510.7621341,0.001308948,4462.322468,510.7608252,0.000137599
1351,510.8798934,0.000710307,4463.189265,510.8791831,0.000138074
1352,510.9972805,0.000219257,4464.033155,510.9970612,0.000138548
1353,511.1140937,-0.000367626,4464.848981,511.1144613,0.000139022
1354,511.230536,-0.000848077,4465.603117,511.2313841,0.000139496
1355,511.3464045,-0.001424927,4466.291721,511.3478294,0.00013996
1356,511.4619021,-0.001894362,4466.882572,511.4637965,0.000140423
1357,511.5768263,-0.002457293,4467.51993,511.5792836,0.000140886
1358,511.6913794,-0.002911961,4468.163318,511.6942914,0.000141349
1359,511.8053613,-0.003457652,4468.802602,511.808819,0.000141812
1360,511.918972,-0.003892093,4469.399823,511.9228641,0.000142275
1361,512.0320107,-0.004412685,4469.946979,512.0364234,0.000142738
1362,512.1446793,-0.004812982,4470.407369,512.1494923,0.000143165
1363,512.2567755,-0.005289787,4470.774028,512.2620653,0.000143556
1364,512.3685035,-0.005632426,4471.119442,512.3741359,0.000143948
1365,512.4796587,-0.006047784,4471.53812,512.4857065,0.000144339
1366,512.5904462,-0.006341115,4471.979417,512.5967873,0.00014473
1367,512.7006617,-0.006725445,4472.422432,512.7073871,0.000145121
1368,512.8105083,-0.007005467,4472.817872,512.8175138,0.000145512
1369,512.9197849,-0.007389466,4473.146401,512.9271744,0.000145903
1370,513.0286931,-0.007682367,4473.360491,513.0363755,0.000146263
1371,513.1370302,-0.008092919,4473.443171,513.1451231,0.000146623
1372,513.2450003,-0.00842254,4474.215521,513.2534228,0.000146983
1373,513.3524003,-0.0088876,4475.606767,513.3612879,0.000147343
1374,513.4594323,-0.009296556,4477.521919,513.4687289,0.000147703
1375,513.5658942,-0.009859592,4479.900075,513.5757538,0.000148063
1376,513.6719911,-0.0103767,4482.6551,513.6823678,0.000148424
1377,513.7775171,-0.011056755,4485.734603,513.7885739,0.000148814
1378,513.8826777,-0.011694663,4489.060771,513.8943724,0.000149233
1379,513.9872673,-0.012494716,4492.325821,513.999762,0.000149653
1380,514.0914926,-0.013238724,4495.212987,514.1047313,0.000150073
1381,514.1951485,-0.014112451,4497.717913,514.209261,0.000150493
1382,514.2984396,-0.014893102,4499.807865,514.3133327,0.000150913
1383,514.4011618,-0.015768394,4501.48055,514.4169302,0.000151333
1384,514.503519,-0.016519127,4502.705249,514.5200381,0.000151753
1385,514.605308,-0.017334878,4503.481395,514.6226429,0.000152114
1386,514.7067326,-0.017999183,4503.77986,514.7247318,0.000152475
1387,514.8075885,-0.018705104,4505.365323,514.8262936,0.000152835
1388,514.9080819,-0.01925084,4508.095505,514.9273327,0.000153196
1389,515.0080068,-0.01984465,4511.865385,515.0278515,0.000153557
1390,515.1075685,-0.020280649,4516.547872,515.1278491,0.000153918
1391,515.2065617,-0.020761565,4522.052165,515.2273233,0.000154242
1392,515.3051939,-0.021074863,4528.264684,515.3262688,0.000154554
1393,515.4032574,-0.021421571,4535.107365,515.424679,0.000154866
1394,515.5009597,-0.021595254,4540.990722,515.522555,0.000155177
1395,515.598094,-0.021805552,4544.456567,515.6198996,0.000155489
1396,515.6948675,-0.021847677,4545.600103,515.7167152,0.000155801
1397,515.791073,-0.021932846,4544.539125,515.8130058,0.000156113
1398,515.8869183,-0.021858183,4541.354796,515.9087765,0.000156423
1399,515.9821976,-0.021835931,4536.15177,516.0040335,0.000156725
1400,516.077115,-0.021669243,4529.863896,516.0987842,0.000157028
1401,516.1714672,-0.021570721,4525.123345,516.1930379,0.000157331
1402,516.2654589,-0.021346699,4521.766561,516.2868056,0.000157634
1403,516.3588842,-0.021212506,4519.66886,516.3800967,0.000157937
1404,516.4519506,-0.020967343,4518.683575,516.4729179,0.000158239
1405,516.5444514,-0.0208226,4518.702677,516.565274,0.000158542
1406,516.6365928,-0.020574281,4519.595949,516.6571671,0.000158853
1407,516.7281683,-0.020429437,4521.270995,516.7485977,0.000159168
1408,516.8193859,-0.020178438,4523.219281,516.8395643,0.000159482
1409,516.9100383,-0.020023348,4525.25747,516.9300616,0.000159796
1410,517.0003327,-0.019750067,4527.317105,517.0200828,0.00016011
1411,517.0900624,-0.019558854,4529.364331,517.1096213,0.000160425
1412,517.1794343,-0.019236428,4531.338929,517.1986707,0.000160739
1413,517.2682411,-0.018984396,4533.214069,517.2872255,0.000161041
1414,517.3566921,-0.018587774,4534.935185,517.3752799,0.000161305
1415,517.4445768,-0.018252044,4536.708147,517.4628288,0.000161569
1416,517.5321072,-0.017763522,4539.151108,517.5498707,0.000161833
1417,517.619072,-0.017342026,4542.186609,517.636414,0.000162097
