     Count               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
        41  2.589408296419943412e+00  2.589408296419943412e+00  2.592268139580069075e+00  2.595755248505608126e+00  2.598696014465805337e+00  2.601020927616035205e+00  2.602832515401056757e+00  2.602832532590066528e+00 
        42  2.800910632080834795e+00  2.800910632080834795e+00  2.804190060210667745e+00  2.808129930253714601e+00  2.811455454232012929e+00  2.814094565644681190e+00  2.816165653502601618e+00  2.816165673189858776e+00 
        43  3.031145789866525941e+00  3.031145789866525941e+00  3.034875675955268637e+00  3.039301576965748986e+00  3.043036316297761168e+00  3.046005325358798643e+00  3.048345124676403284e+00  3.048345146945254047e+00 
        44  3.282691197161457186e+00  3.282691197161457186e+00  3.286896470192978370e+00  3.291837925812563181e+00  3.296002697681896798e+00  3.299313572942029982e+00  3.301927275452273935e+00  3.301927300345365524e+00 
        45  3.558588311140359117e+00  3.558588311140359117e+00  3.563289218351478382e+00  3.568773445004250977e+00  3.573386938126691614e+00  3.577049470216783433e+00  3.579939809184458532e+00  3.579939836719166379e+00 
        46  3.862391769465602476e+00  3.862391769465602476e+00  3.867610149922696028e+00  3.873667961147019057e+00  3.878752253600044497e+00  3.882779203521509181e+00  3.885951365278913716e+00  3.885951395495844896e+00 
        47  4.197941454265042616e+00  4.197941454265042616e+00  4.203709401538127111e+00  4.210383195493567321e+00  4.215971062914515066e+00  4.220384837890033047e+00  4.223852741671975330e+00  4.223852774696902124e+00 
        48  4.569049208538197071e+00  4.569049208538197071e+00  4.575411816582258595e+00  4.582758162019265669e+00  4.588895401406486663e+00  4.593730119015966729e+00  4.597518314165745856e+00  4.597518350228307682e+00 
        49  4.979279503087234993e+00  4.979279503087234993e+00  4.986287148949754666e+00  4.994369892754821905e+00  5.001109046086297916e+00  5.006404788699397201e+00  5.010543032160875043e+00  5.010543071541092353e+00 
        50  5.431813721706607367e+00  5.431813721706607367e+00  5.439506914445089159e+00  5.448383577839871705e+00  5.455771671438076176e+00  5.461563420204559982e+00  5.466076352840278929e+00  5.466076395766884310e+00 
        51  5.929449407633750724e+00  5.929449407633750724e+00  5.937842708473976217e+00  5.947550068174939142e+00  5.955615794769370197e+00  5.961922059193770274e+00  5.966818748728755395e+00  5.966818795276348730e+00 
        52  6.474792746813060162e+00  6.474792746813060162e+00  6.483865976427206412e+00  6.494412221394345153e+00  6.503159255715055487e+00  6.509976463839019623e+00  6.515245494602138976e+00  6.515245544643258668e+00 
        53  7.070517413339696411e+00  7.070517413339696411e+00  7.080222159328960707e+00  7.091592767304622846e+00  7.101005544125330360e+00  7.108313788088447716e+00  7.113929034056223344e+00  7.113929087318773270e+00 
        54  7.719528425659401449e+00  7.719528425659401449e+00  7.729811583440969969e+00  7.741990370287226142e+00  7.752053403388556418e+00  7.759834263090690243e+00  7.765771844127258738e+00  7.765771900361988500e+00 
        55  8.425050915503474513e+00  8.425050915503474513e+00  8.435887949305037381e+00  8.448886614866838229e+00  8.459611077668013124e+00  8.467871580400972320e+00  8.474132240316055942e+00  8.474132299517030731e+00 
