     Count               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
        40  0.000000000000000000e+00 -3.192612108542198257e+01 -5.741917811701569008e-02  1.174490881121528219e-01  9.225143715821104706e-02  7.256439900743316684e-02  1.710110421777244483e-02  1.710045387085301627e-02 
        41  0.000000000000000000e+00 -3.181433702036292743e+01 -3.430821397569161491e-02  1.490115631133903662e-01  1.218414720785858663e-01  1.009620794291095081e-01  4.435853299833070196e-02  4.435780264748245827e-02 
        42  0.000000000000000000e+00 -3.170258492864172695e+01 -2.283494468224489538e-02  1.654717299193180224e-01  1.390438822986652667e-01  1.181668176586754271e-01  6.335264588301470212e-02  6.335187232616590336e-02 
        43  0.000000000000000000e+00 -3.159639287120194240e+01 -2.418943816724095086e-02  1.655508107646710414e-01  1.428093756703674444e-01  1.231692100238888088e-01  7.286907571528900007e-02  7.286829590861998440e-02 
        44  0.000000000000000000e+00 -3.149826936976796787e+01 -3.680726256925481721e-02  1.508163198441252462e-01  1.346752884996931243e-01  1.173896994566803187e-01  7.394152664778630424e-02  7.394077547360211611e-02 
        45  0.000000000000000000e+00 -3.140976958067881242e+01 -5.812195031808187196e-02  1.235778133066105511e-01  1.167186542564877527e-01  1.026693206026720873e-01  6.789937029202519625e-02  6.789867880320343829e-02 
        46  0.000000000000000000e+00 -3.133194841051874846e+01 -8.530030904739760444e-02  8.644382272916573129e-02  9.118193183689982106e-02  8.097461335648858949e-02  5.613971371747084049e-02  5.613910800991561700e-02 
        47  0.000000000000000000e+00 -3.126628395019599793e+01 -1.162234354129623171e-01  4.142910820951328787e-02  5.962782068786509626e-02  5.364560536122553458e-02  3.945477310844580643e-02  3.945427398230094695e-02 
        48  0.000000000000000000e+00 -3.121531358584547888e+01 -1.501999799427267135e-01 -1.068122879712518625e-02  2.232405811844273558e-02  2.083472302842892532e-02  1.754439069202362589e-02  1.754401408106787130e-02 
        49  0.000000000000000000e+00 -3.118119421389599211e+01 -1.866189195462766293e-01 -6.924361855237748387e-02 -2.035086661464902136e-02 -1.709378130146887997e-02 -9.546668926873280725e-03 -9.546911094957977184e-03 
        50  0.000000000000000000e+00 -3.116331766996370334e+01 -2.226625040275393985e-01 -1.309714530344763261e-01 -6.559518050380575005e-02 -5.730046262021915027e-02 -3.918204950184644986e-02 -3.918214857640123228e-02 
        51  0.000000000000000000e+00 -3.115734061102966734e+01 -2.524302748231548321e-01 -1.890675919464683830e-01 -1.073418203163782891e-01 -9.368927907121360477e-02 -6.541621615474468854e-02 -6.541616662013893801e-02 
        52  0.000000000000000000e+00 -3.115646453052954712e+01 -2.682972843609832125e-01 -2.349364109060161354e-01 -1.377988572471622319e-01 -1.184140691653965405e-01 -8.057593565331444552e-02 -8.057573565179154684e-02 
        53  0.000000000000000000e+00 -3.115338622088302145e+01 -2.629835441796330997e-01 -2.603557912361793569e-01 -1.499356790789079241e-01 -1.240566793798052458e-01 -7.745335935260300175e-02 -7.745301152601768990e-02 
        54  0.000000000000000000e+00 -3.114289295668595514e+01 -2.320504839889281357e-01 -2.600628438520971031e-01 -1.389758578917508203e-01 -1.069154905245568443e-01 -5.270783677076451568e-02 -5.270734971816182224e-02 
        55  0.000000000000000000e+00 -3.112498907906058321e+01 -1.770388158865898731e-01 -2.349432287006720799e-01 -1.062562055927855909e-01 -6.861821230938858207e-02 -8.404173644862567016e-03 -8.403561789009472704e-03 
        56  0.000000000000000000e+00 -3.110513330322567072e+01 -1.056513398531251369e-01 -1.922241576945680208e-01 -5.941045762801877572e-02 -1.716352432856638188e-02  4.705709444840522337e-02  4.705781073437265150e-02 
        57  0.000000000000000000e+00 -3.109133160767976278e+01 -2.869475195825543778e-02 -1.423917121919657802e-01 -9.300689062001765706e-03  3.621588508190143330e-02  1.020312158377691958e-01  1.020320101655443068e-01 
        58  0.000000000000000000e+00 -3.109175455897604934e+01  4.250759913861656969e-02 -9.655321550474127434e-02  3.263608074735202536e-02  7.975731030137467314e-02  1.444034037111805446e-01  1.444042442890349776e-01 
        59  0.000000000000000000e+00 -3.111348775232579555e+01  9.757730933984021249e-02 -6.491390133010099817e-02  5.596956088891147374e-02  1.027673386647620646e-01  1.632518367086959188e-01  1.632526875969233515e-01 
        60  0.000000000000000000e+00 -3.115941000455393350e+01  1.303937122107754476e-01 -5.340579349558538524e-02  5.470488993239541742e-02  9.906393235371524497e-02  1.523217198993052079e-01  1.523225426295766738e-01 
        61  0.000000000000000000e+00 -3.122396350378551233e+01  1.434917782778484252e-01 -5.923982419153617229e-02  3.175300465500185965e-02  7.148919475844195404e-02  1.145533761522301575e-01  1.145541315884202049e-01 
        62  0.000000000000000000e+00 -3.129371859430477798e+01  1.476389778871407543e-01 -7.128414983378661418e-02 -1.448862753477442311e-03  3.158554342724073649e-02  6.178296032715024921e-02  6.178361087302164378e-02 
        63  0.000000000000000000e+00 -3.135330715946759028e+01  1.559987629299257605e-01 -7.586477938980351610e-02 -3.073750829571508802e-02 -6.186184297348518157e-03  8.985890291910436645e-03  8.986402467598963995e-03 
        64  0.000000000000000000e+00 -3.139119540663114094e+01  1.783955304091477956e-01 -6.249367540908679075e-02 -4.494369432995881652e-02 -3.020249264523044985e-02 -3.149031548753100651e-02 -3.148996849085961003e-02 
        65  0.000000000000000000e+00 -3.140330833244433961e+01  2.176742710116741364e-01 -2.754926485022224369e-02 -3.956580137514720263e-02 -3.541422348735068226e-02 -5.372691843763277575e-02 -5.372675479827648815e-02 
        66  0.000000000000000000e+00 -3.139462244374112743e+01  2.680578517547473894e-01  2.400407295840523147e-02 -1.850011223950787098e-02 -2.513861552552043577e-02 -6.011457332203917758e-02 -6.011460151739811408e-02 
        67  0.000000000000000000e+00 -3.137733092197595397e+01  3.169208719607468083e-01  8.030357737675331009e-02  7.603532220741726633e-03 -9.454951977431846899e-03 -5.982799789251203038e-02 -5.982821643510760623e-02 
        68  0.000000000000000000e+00 -3.136536242250031137e+01  3.502115923395194841e-01  1.279213525208433566e-01  2.659962821826411528e-02  3.700628235492331441e-05 -6.364518620193848619e-02 -6.364558401969588886e-02 
        69  0.000000000000000000e+00 -3.136817133766362531e+01  3.586002429278778436e-01  1.579081832509245942e-01  3.080015577393169224e-02 -3.850959950796095654e-03 -7.806258642631291877e-02 -7.806314378649403807e-02 
        70  0.000000000000000000e+00 -3.138849964779751645e+01  3.396507484249013942e-01  1.678450883697450990e-01  1.894283487149550638e-02 -2.197318773369261180e-02 -1.034096797279744351e-01 -1.034103696047168341e-01 
        71  0.000000000000000000e+00 -3.142366268192881762e+01  2.964758532218638720e-01  1.603971897741303110e-01 -5.321538718476404028e-03 -5.040826978859058727e-02 -1.354328525164874009e-01 -1.354336422809865326e-01 
        72  0.000000000000000000e+00 -3.146595911436020288e+01  2.372880025786798797e-01  1.428279671747532120e-01 -3.398069790159752301e-02 -8.102140268522362021e-02 -1.658696824042635853e-01 -1.658705357145890957e-01 
        73  0.000000000000000000e+00 -3.150345688296795288e+01  1.745937840003080055e-01  1.262364234256665441e-01 -5.550056970253081090e-02 -1.022878812212866251e-01 -1.832695174648506509e-01 -1.832703962518280605e-01 
        74  0.000000000000000000e+00 -3.152430443504874802e+01  1.208833712886416833e-01  1.213520628558626413e-01 -5.908918526142770133e-02 -1.035469807731033143e-01 -1.772262852432504587e-01 -1.772271516310865991e-01 
        75  0.000000000000000000e+00 -3.152133188013704057e+01  8.405523253486535395e-02  1.341108345436623495e-01 -3.912057032209759200e-02 -7.942829911894477846e-02 -1.427707479275568403e-01 -1.427715659314117147e-01 
        76  0.000000000000000000e+00 -3.149349325983484960e+01  6.601152882353744644e-02  1.644326034586356400e-01  3.700314816569516552e-03 -3.100804280757074594e-02 -8.149536738176266226e-02 -8.149610435657450580e-02 
        77  0.000000000000000000e+00 -3.144491680013879886e+01  6.362880962831241050e-02  2.073723654178820652e-01  6.356197012519260170e-02  3.544917594740581990e-02 -2.702228647422089125e-04 -2.708507001898396993e-04 
